room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
0,7,0,1,0,112
1,3,6,1,0,125
1,4,19,1,323,950
1,2,35,1,34,130
0,1,6,1,0,50
0,2,24,1,294,80
1,2,23,2,33,60
1,3,18,1,307,135
1,4,0,1,152,190
1,1,4,1,0,165
1,5,7,1,90,74
1,1,4,1,84,95
0,1,1,1,0,98
0,1,10,1,0,65
1,2,1,1,0,149
0,1,4,1,0,55
0,1,26,2,0,95
1,2,6,1,20,200
1,3,1,1,0,159
1,5,7,1,0,145
1,10,14,1,11,225
1,10,0,1,0,110
0,2,0,1,133,58
0,2,7,1,36,55
1,2,13,2,0,94
1,3,38,2,78,80
1,2,21,1,0,74
1,4,9,1,0,225
1,1,0,1,201,159
0,2,43,3,150,50
0,3,12,1,4,55
2,3,1,1,88,32
1,2,11,1,6,120
1,7,1,1,0,120
1,3,25,1,64,150
0,6,1,1,0,140
1,4,0,1,8,55
1,2,2,1,0,177
0,2,46,3,256,75
0,1,14,2,0,99
0,3,3,3,88,80
0,2,3,1,61,160
0,1,16,3,142,39
1,1,2,1,0,185
0,9,0,1,310,75
0,2,15,2,27,50
0,2,0,1,0,70
1,2,26,2,81,97
0,1,6,2,0,40
1,7,0,1,0,90
0,1,0,1,0,46
1,3,6,1,0,200
1,1,0,1,330,280
1,1,0,1,0,189
1,5,0,1,0,130
1,3,53,1,110,155
1,1,0,1,0,289
0,1,1,1,0,75
1,6,18,1,0,110
1,5,5,1,0,99
1,1,0,1,0,300
0,2,55,1,0,48
1,3,1,2,107,150
1,3,21,1,59,75
1,2,3,1,0,125
1,3,5,1,0,115
0,1,58,2,26,69
1,5,5,1,0,150
1,3,3,1,0,120
1,1,3,2,0,130
1,1,1,1,0,132
1,3,53,1,104,300
0,1,1,1,0,40
0,1,0,1,0,190
0,1,0,1,180,10
0,1,0,1,0,150
0,3,8,1,359,100
0,6,80,1,0,99
0,1,0,1,0,165
1,2,1,1,0,110
0,1,20,1,1,99
0,15,0,2,0,84
1,3,3,1,0,119
1,3,12,1,0,220
0,2,0,2,125,42
0,7,0,1,0,80
1,1,1,1,0,112
0,1,44,1,73,89
1,1,2,1,0,200
0,2,21,1,0,75
0,1,18,3,0,100
1,5,7,1,0,210
1,2,4,1,0,105
0,3,1,1,362,65
1,1,0,1,0,350
1,1,2,1,0,900
1,3,18,1,0,175
0,1,6,1,365,250
1,4,6,2,140,110
1,3,5,1,326,100
1,3,6,1,0,175
1,1,2,1,0,200
1,2,0,1,0,85
0,3,0,2,77,64
0,2,9,1,0,90
0,1,6,1,0,35
0,2,61,1,90,100
1,8,79,1,78,250
0,1,24,4,89,120
1,2,0,1,0,350
0,5,1,1,0,129
1,4,3,1,0,225
0,2,7,1,0,60
0,2,0,1,363,100
1,2,70,1,335,218
1,2,5,1,20,87
1,2,2,1,0,150
0,4,70,2,173,46
0,1,0,1,0,70
1,2,94,1,252,89
1,4,0,1,158,125
1,5,33,1,35,180
1,1,1,1,0,180
0,4,4,2,291,81
0,3,33,1,90,91
0,3,21,1,177,69
1,1,0,1,0,156
1,3,6,1,0,290
0,5,11,2,76,89
1,3,1,1,365,246
0,5,6,1,0,69
0,7,1,3,0,45
0,3,1,4,89,50
0,1,28,1,0,85
0,1,77,1,132,60
1,1,0,3,346,349
1,1,1,2,0,409
0,1,66,2,289,130
0,2,44,1,246,142
1,3,10,2,0,190
1,2,5,2,61,199
0,1,0,2,343,100
0,3,0,1,170,72
1,3,20,1,0,125
1,3,0,3,213,830
1,2,74,1,35,200
1,5,8,1,179,150
0,2,0,1,0,87
0,1,10,1,102,80
1,6,0,1,87,250
2,1,0,1,0,60
1,2,3,1,0,150
0,1,9,3,25,98
0,1,12,2,206,120
0,1,72,2,96,42
1,2,43,1,0,140
1,2,11,1,0,125
1,3,5,1,0,133
0,2,12,3,330,85
1,4,0,1,0,45
0,3,0,4,332,45
0,2,2,2,34,60
1,2,0,1,0,250
1,3,67,1,85,195
0,1,28,2,107,65
1,3,5,1,22,350
0,2,38,2,103,130
1,2,10,1,0,150
1,3,57,1,157,165
0,2,3,1,0,50
0,3,3,1,0,50
1,2,0,1,113,155
1,4,56,2,148,182
1,5,0,1,0,125
1,3,4,1,0,97
1,7,3,1,44,100
0,2,0,2,98,70
0,3,1,1,0,28
0,4,0,2,0,82
0,1,33,4,0,70
1,1,18,1,356,499
0,1,3,1,0,70
0,1,2,2,0,35
0,2,1,1,0,69
0,5,2,1,0,45
1,3,3,1,0,75
1,7,5,1,0,250
1,3,2,2,24,180
1,7,10,1,0,275
1,1,14,3,353,150
0,2,19,1,166,400
1,2,4,1,160,250
1,3,9,1,273,200
1,2,1,1,97,585
0,1,1,1,0,65
0,2,1,1,0,30
1,1,33,1,0,200
0,2,11,1,0,79
0,1,0,1,0,60
1,1,68,1,98,148
0,1,7,1,0,45
0,3,84,3,17,39
0,2,36,1,288,85
1,5,10,1,0,200
1,3,13,1,0,180
1,2,20,1,29,140
1,3,5,1,0,85
1,1,36,1,201,399
0,3,12,1,63,90
0,5,0,1,0,60
0,12,0,2,0,79
0,6,1,2,0,50
1,5,14,1,0,85
1,3,3,1,73,100
0,7,11,1,0,45
0,4,48,1,96,80
0,1,87,1,8,70
0,4,5,1,0,59
1,2,7,1,328,278
1,3,5,1,43,450
0,4,12,1,12,59
1,3,0,1,5,198
0,3,1,2,0,65
0,2,7,1,0,75
0,1,0,1,0,65
0,2,16,1,60,50
1,4,20,2,146,99
1,2,6,1,0,350
1,1,3,1,0,90
0,1,10,1,179,63
1,7,2,1,0,85
0,2,21,2,339,45
1,5,71,1,238,100
1,2,17,1,56,125
1,2,36,1,321,200
0,2,79,1,349,76
1,5,0,1,348,150
0,1,1,1,0,80
0,3,8,1,0,125
1,2,10,1,3,265
0,2,16,1,0,149
0,1,37,1,0,50
1,3,19,1,194,175
1,2,62,1,19,290
1,4,10,1,0,70
0,1,0,1,0,100
1,4,58,1,78,125
0,2,30,1,13,120
0,1,7,1,0,35
1,3,63,1,165,125
1,6,40,1,105,400
0,2,11,2,365,120
0,7,0,1,0,57
1,3,0,1,6,500
0,7,1,1,0,50
0,1,6,3,0,139
1,1,0,1,0,75
1,2,24,1,365,185
0,4,0,2,0,100
1,7,1,1,3,125
0,1,3,3,84,60
0,1,25,4,73,50
1,1,5,1,338,185
0,1,1,1,157,60
1,3,0,1,28,220
1,1,2,1,0,400
0,1,0,1,0,145
0,3,5,1,0,55
0,4,1,3,325,52
0,2,95,1,321,85
1,4,54,1,0,95
1,3,3,1,0,150
0,1,4,1,0,45
0,1,0,2,134,50
0,5,1,1,53,70
1,7,0,1,34,250
0,1,44,1,84,60
1,3,1,1,0,140
1,1,8,3,300,156
0,3,40,1,18,115
0,1,7,2,188,85
1,3,13,1,0,78
1,3,30,1,0,90
1,3,50,1,4,160
1,7,0,3,0,113
0,2,77,2,68,90
1,7,3,1,11,115
1,3,1,1,0,125
0,4,4,1,0,60
0,2,13,1,362,65
0,4,2,1,88,90
0,3,4,1,0,55
1,1,17,1,158,90
1,2,4,2,89,265
1,1,0,1,0,80
0,1,0,1,0,99
0,2,12,4,45,44
2,1,18,1,56,63
0,1,0,3,0,80
1,5,0,1,0,100
0,1,2,2,0,250
1,5,24,1,121,170
0,5,0,1,0,110
1,4,15,2,5,399
1,2,9,1,8,110
1,2,3,1,4,175
0,4,2,1,0,40
0,2,42,1,118,55
0,1,0,2,75,125
0,1,1,1,72,74
1,1,9,1,0,160
0,7,0,2,49,60
0,4,1,1,0,77
1,3,1,1,0,225
1,4,1,1,168,650
1,1,32,2,324,200
0,2,42,1,172,125
0,1,2,1,0,65
0,7,1,1,0,59
1,2,37,1,0,94
0,3,23,1,0,100
0,2,18,1,205,70
1,15,66,2,89,199
1,3,9,1,0,279
1,3,1,1,0,250
0,2,1,3,341,43
1,1,12,1,362,300
0,1,78,4,337,45
1,2,97,1,24,180
0,3,5,1,298,42
1,3,2,1,15,200
0,2,36,1,278,85
1,3,31,2,157,349
1,2,3,1,0,173
1,1,5,4,59,169
1,3,2,1,324,100
0,2,1,1,0,30
0,1,19,1,153,99
1,7,57,1,125,115
0,7,48,1,235,69
1,7,29,1,237,211
0,7,8,2,81,36
1,3,21,1,148,250
1,1,10,1,199,188
0,1,12,3,339,85
0,3,13,3,176,30
1,1,7,1,78,250
0,3,0,1,90,70
1,3,0,1,12,150
0,3,25,1,3,44
0,3,0,1,0,65
0,4,11,2,4,67
1,5,2,1,0,170
0,2,29,3,78,85
1,3,3,4,324,699
1,1,9,1,288,59
0,1,0,1,0,50
0,2,8,1,67,75
0,5,8,1,281,68
0,2,0,1,89,100
1,4,4,1,7,274
1,3,15,1,75,150
0,2,4,3,63,100
0,3,27,1,348,140
1,1,27,1,33,78
1,5,0,1,0,75
1,3,2,1,0,135
0,10,14,1,7,67
0,3,74,4,84,55
0,2,0,3,314,55
1,2,9,1,0,70
0,4,1,1,22,200
0,5,3,2,62,35
1,5,12,2,174,600
0,5,1,1,0,70
1,1,39,1,49,225
1,6,9,2,0,380
1,3,90,2,37,150
0,2,58,3,0,55
1,10,0,1,0,115
0,2,21,1,16,35
1,5,8,1,0,200
1,3,25,1,18,150
2,3,28,1,34,110
1,2,2,1,0,250
0,4,22,4,100,68
0,1,73,1,334,62
1,2,1,1,0,150
0,2,20,1,0,60
1,1,3,3,352,449
1,4,25,1,0,100
0,6,12,2,8,65
1,9,0,1,15,200
0,1,15,1,16,70
1,1,8,1,0,200
0,1,1,1,1,100
0,2,21,1,175,82
0,7,2,1,89,70
1,3,76,1,301,375
1,3,16,1,6,69
1,2,3,1,12,110
0,6,4,1,191,100
1,2,2,1,0,275
0,2,29,3,0,74
0,3,1,1,26,150
1,2,0,1,365,275
1,2,18,1,0,102
0,1,8,1,6,45
0,5,35,1,320,95
0,2,2,1,0,55
0,1,0,1,0,195
0,1,1,1,0,45
1,6,39,1,24,215
0,2,70,3,326,36
0,3,1,1,0,40
1,4,21,1,334,265
1,1,89,1,47,80
1,14,0,1,189,100
1,5,0,1,49,150
1,5,2,1,0,149
0,1,4,1,0,299
0,3,0,1,5,250
0,2,9,1,0,80
1,2,20,1,0,75
0,2,0,1,356,375
1,3,51,1,180,150
1,2,5,2,161,200
1,2,16,1,4,70
1,1,6,1,191,150
0,1,3,1,0,70
0,5,18,2,118,80
1,3,19,2,78,276
1,3,33,2,0,110
1,5,12,1,3,125
1,3,42,2,34,950
0,1,14,1,295,55
0,1,1,1,87,235
1,2,28,1,0,200
1,3,4,1,138,179
0,3,7,1,0,110
0,10,31,2,17,120
0,1,63,2,18,29
0,1,4,1,0,60
1,1,0,2,328,395
1,4,22,1,11,105
0,1,82,1,51,150
0,3,19,1,109,75
0,1,8,2,293,55
1,1,2,1,0,180
1,14,2,1,310,90
0,1,0,1,0,139
1,6,5,1,192,115
0,11,0,1,0,100
1,2,45,3,31,300
0,5,0,1,60,84
1,10,0,3,30,299
1,2,80,2,74,125
0,1,5,4,356,109
2,3,61,2,7,25
0,3,0,1,62,70
1,2,34,1,315,274
0,2,10,1,0,300
1,2,86,1,171,86
1,4,31,1,291,200
1,2,5,1,0,195
0,1,3,2,166,48
1,4,63,1,101,95
0,1,1,1,0,140
1,14,3,1,321,380
0,2,5,4,15,105
1,1,88,1,329,250
0,3,6,3,123,160
0,2,13,1,35,59
1,3,32,3,78,172
0,1,0,1,95,109
0,5,1,1,0,70
1,1,0,1,0,62
0,1,15,1,355,75
1,4,6,1,0,115
1,2,2,1,0,200
1,3,5,3,45,120
1,3,0,1,0,200
1,7,1,1,0,180
0,2,46,2,0,75
0,4,0,1,89,85
1,3,2,1,0,99
1,3,78,1,25,55
1,1,25,1,287,76
0,4,7,1,54,52
1,15,0,1,0,70
1,2,93,1,43,129
1,1,7,1,0,145
1,2,1,1,0,150
0,2,0,1,0,150
0,1,9,1,0,90
1,5,6,1,28,160
0,2,1,2,0,184
1,2,1,1,0,130
0,1,9,1,0,95
0,3,0,3,0,200
1,2,23,1,12,150
1,4,2,1,35,100
1,2,3,1,0,180
1,4,19,1,343,160
1,5,26,1,269,105
0,1,2,1,0,120
0,2,3,1,363,80
1,4,18,1,0,250
1,1,4,2,0,150
1,4,0,1,6,100
0,2,13,1,264,70
0,1,40,2,169,65
1,7,45,1,364,379
1,1,6,1,0,175
0,14,0,1,0,60
0,3,4,1,76,187
0,2,0,2,0,150
1,2,18,1,5,88
1,10,4,1,9,125
1,3,5,1,3,100
1,4,19,1,76,140
1,3,2,1,0,235
0,5,0,1,0,45
0,10,1,1,0,66
0,3,11,4,14,58
2,3,27,2,1,30
1,5,10,1,64,89
1,2,15,1,0,130
1,2,1,2,292,100
1,10,0,1,179,250
0,3,5,1,33,65
0,1,5,1,319,59
1,7,2,3,38,145
1,5,13,1,0,225
0,1,1,3,268,60
0,1,3,1,0,65
0,3,10,2,251,82
0,7,22,3,68,60
1,1,4,1,0,125
1,2,3,1,33,108
1,2,9,1,1,115
1,3,1,1,24,520
0,3,84,4,75,58
0,2,13,2,0,70
1,3,54,1,188,115
0,3,23,1,70,40
0,7,6,1,0,50
1,7,4,1,0,160
1,2,1,1,0,100
1,2,0,1,0,120
0,3,5,1,281,52
1,3,71,1,9,135
0,2,4,4,0,110
0,14,0,1,0,70
1,2,3,1,0,80
1,10,0,1,0,385
0,7,1,3,0,70
1,2,0,1,0,100
1,10,22,1,0,142
0,1,0,1,90,125
1,4,37,1,244,416
0,1,2,2,0,95
0,10,0,1,0,35
0,2,4,1,0,85
0,2,18,2,333,53
0,2,47,2,0,69
0,3,26,3,362,79
0,1,13,1,36,65
1,2,2,1,0,180
0,1,3,1,0,60
1,3,2,1,206,229
2,2,65,4,171,85
1,3,28,1,325,99
0,3,3,2,0,50
1,5,1,1,0,80
0,5,0,1,136,55
0,10,72,1,42,110
1,2,15,1,0,198
2,1,14,3,22,35
0,1,0,1,365,199
1,2,73,1,56,226
1,14,4,1,268,62
1,2,24,1,294,300
1,1,2,1,0,250
0,7,25,1,311,120
0,2,16,1,12,134
1,7,9,1,0,170
1,15,8,1,30,300
1,1,0,1,9,500
1,5,2,1,19,115
1,2,49,1,82,319
2,1,3,1,83,55
1,1,13,1,0,150
1,5,45,1,203,485
1,4,9,1,70,130
0,4,4,1,25,70
1,1,2,1,188,85
0,5,0,1,0,55
1,1,7,1,0,125
0,3,0,1,0,125
1,3,7,2,0,200
1,1,0,1,0,127
0,2,6,4,297,119
1,5,0,1,0,500
0,3,0,1,364,150
0,2,48,2,302,55
0,1,5,1,0,45
1,4,32,1,28,199
0,3,2,1,0,110
0,2,20,1,179,112
1,1,6,3,115,300
1,1,0,1,81,120
1,1,0,1,0,300
0,15,2,1,0,35
0,1,1,1,0,55
1,4,9,1,74,149
1,3,51,1,19,330
1,2,35,1,8,160
0,1,31,3,361,55
1,1,1,1,0,89
1,10,0,1,0,1315
1,3,6,1,0,115
0,3,7,2,0,109
0,7,0,1,0,51
1,4,2,1,4,190
0,1,53,3,2,55
0,1,0,1,364,140
1,3,24,1,30,168
0,2,90,1,186,69
0,7,0,1,0,45
0,1,1,1,87,125
0,3,36,1,0,70
1,5,1,1,0,150
1,2,51,1,89,125
1,2,0,1,119,190
1,4,8,1,0,150
1,3,10,1,22,300
1,2,19,1,0,280
0,4,7,1,32,45
1,2,1,1,44,125
0,2,71,1,60,65
0,2,3,1,0,50
1,5,1,1,11,300
1,1,98,1,240,95
1,3,8,1,0,199
0,1,38,2,361,90
0,1,2,1,63,100
1,2,11,2,259,100
0,3,0,2,364,100
0,1,1,1,0,60
1,5,31,2,64,120
0,2,1,2,0,112
1,3,0,1,80,225
0,2,5,1,0,55
0,1,27,2,0,60
0,2,8,2,365,56
1,6,24,2,51,180
1,14,1,1,14,90
1,2,6,1,0,130
0,3,4,1,0,85
0,1,8,1,83,36
0,2,5,3,0,84
0,1,19,2,0,85
0,1,4,1,1,85
0,1,1,1,0,75
0,1,0,1,0,375
1,1,15,1,0,100
1,7,6,1,130,168
1,10,9,1,12,85
1,3,1,1,0,399
1,8,2,1,59,185
0,5,5,1,25,120
1,2,16,1,2,175
1,7,1,1,5,140
1,2,16,1,136,200
0,2,30,2,80,125
1,4,8,1,104,179
1,2,1,1,0,171
1,2,1,1,0,95
1,3,15,1,0,240
1,4,3,1,0,200
0,1,0,1,6,85
0,2,8,2,90,66
1,2,0,1,0,195
0,5,17,2,123,65
0,2,14,1,0,120
1,1,8,1,0,140
1,5,11,1,0,150
0,2,0,1,0,100
0,2,14,1,16,35
1,2,1,1,185,214
1,2,0,3,189,298
0,7,0,1,0,55
0,1,18,1,0,120
1,5,0,1,0,200
0,2,0,1,358,130
1,1,1,1,3,135
0,3,14,3,348,180
1,3,18,2,255,115
1,2,36,1,10,79
0,1,12,3,5,80
1,2,4,1,0,157
1,2,0,1,0,350
0,6,1,1,20,71
1,1,1,1,121,450
0,1,10,4,365,75
1,1,2,1,304,350
0,2,9,4,280,110
0,11,11,3,11,55
0,10,2,1,40,149
1,5,0,1,0,130
1,2,59,1,0,167
1,3,3,1,0,250
0,1,9,1,0,90
1,3,18,1,1,130
0,2,0,1,364,100
1,3,2,1,0,80
0,1,9,4,0,53
0,2,45,2,90,85
1,2,31,1,25,295
0,1,0,1,0,95
0,7,0,1,19,65
0,3,43,2,365,75
0,2,10,1,0,36
0,1,0,1,0,150
1,3,3,1,301,100
0,2,74,3,62,100
1,15,6,2,98,300
0,7,1,1,125,50
0,2,3,1,0,90
1,1,15,1,152,159
0,3,1,1,0,49
1,14,8,1,332,130
1,5,0,1,0,199
1,4,7,1,25,499
1,2,72,1,146,152
0,2,0,1,0,100
1,1,0,3,166,139
1,3,17,1,37,400
1,1,33,1,20,134
1,1,2,1,0,155
0,5,0,1,0,70
0,2,31,1,57,120
0,3,11,1,0,45
0,5,24,4,177,50
2,1,0,2,34,75
0,1,1,1,0,95
0,3,2,1,0,35
1,2,5,1,0,190
0,4,28,1,0,65
2,1,1,2,364,30
1,1,2,1,40,100
0,5,5,4,297,40
2,1,0,1,364,150
0,1,8,3,342,70
1,3,88,1,0,67
1,2,1,1,0,100
0,1,4,3,0,51
1,12,0,1,0,140
1,4,25,1,4,100
1,1,0,1,0,95
1,7,0,1,0,270
0,5,1,1,0,40
0,7,2,1,0,50
1,3,0,1,0,280
1,7,2,1,0,145
1,2,23,1,0,250
1,4,0,1,0,250
0,2,59,1,362,99
0,1,8,2,0,78
0,1,0,2,0,100
1,5,15,1,0,120
1,5,1,1,0,111
0,14,18,1,128,70
0,4,2,2,0,50
1,4,1,1,2,400
0,1,7,1,0,45
0,1,6,1,0,50
1,5,6,1,0,295
1,2,17,1,7,239
1,1,9,1,340,125
1,6,21,1,116,139
0,1,33,2,11,98
0,2,1,1,0,51
2,1,50,1,343,42
0,7,0,1,0,75
0,7,0,1,0,40
0,4,5,1,0,40
0,2,15,1,2,50
1,1,3,1,0,150
0,5,11,1,0,60
0,1,3,1,3,64
1,13,0,1,0,130
1,4,2,1,0,160
1,2,16,1,0,125
0,2,5,1,363,159
1,4,4,1,0,135
0,3,19,3,361,70
0,6,26,3,90,60
1,3,0,1,355,600
1,2,10,1,0,110
0,3,86,2,240,85
1,3,73,1,37,109
1,2,10,1,0,169
0,5,2,1,0,55
0,3,9,1,10,45
0,3,67,1,265,195
1,5,8,1,123,450
1,4,53,1,15,120
2,7,1,1,179,50
0,1,33,1,84,100
1,2,2,1,89,360
0,1,0,1,0,25
0,2,1,1,0,30
1,3,15,1,15,120
0,2,0,1,0,200
1,3,3,1,0,145
0,1,0,4,304,56
1,1,0,2,0,100
1,7,1,1,0,150
0,2,20,2,0,210
1,1,54,1,326,87
0,2,1,2,54,85
1,1,3,1,0,135
0,1,1,2,36,50
1,2,5,1,0,240
0,2,0,2,27,80
1,2,5,1,0,129
0,5,65,2,328,40
1,1,3,1,0,165
1,1,75,1,331,215
0,4,4,1,189,41
0,2,1,1,0,70
0,2,6,1,312,355
1,15,7,1,0,62
2,1,1,1,353,20
1,3,2,1,0,160
1,3,34,1,12,110
0,3,2,3,85,140
0,1,22,1,303,299
0,1,14,1,147,120
0,2,18,1,0,60
1,2,48,1,53,120
1,2,7,1,24,125
0,6,30,1,71,77
0,1,14,1,44,65
0,1,0,1,0,50
1,5,0,1,60,250
0,2,11,4,3,35
0,2,34,1,156,86
0,4,0,3,90,155
0,4,49,3,40,45
1,1,16,2,181,93
1,2,34,4,0,599
1,4,19,1,134,700
1,4,6,1,0,170
1,1,66,1,67,325
1,1,0,1,14,199
0,2,55,1,5,65
0,2,0,1,0,66
0,1,3,4,150,35
0,1,4,1,0,50
1,10,2,1,24,125
0,1,8,4,192,49
1,1,0,1,0,131
0,2,2,2,364,65
0,15,25,1,29,69
0,3,2,1,0,150
1,2,16,1,0,130
1,2,1,2,3,105
0,1,1,1,50,70
0,2,17,3,177,90
0,3,0,1,5,119
1,1,4,1,0,200
0,1,4,1,0,52
1,1,1,1,5,150
1,3,2,1,188,255
0,3,49,1,0,110
0,2,28,1,72,150
1,2,15,2,273,300
0,1,14,2,311,26
0,2,2,1,0,54
0,1,16,1,0,60
1,7,0,1,0,150
0,1,2,1,0,52
0,3,72,1,56,75
0,3,1,1,0,145
0,2,97,3,359,73
0,1,52,1,198,77
0,3,30,2,4,150
0,3,19,2,0,45
1,3,0,1,0,150
1,10,4,1,48,200
0,2,11,3,365,38
0,2,43,1,0,38
0,2,0,1,0,55
1,3,60,3,17,395
0,2,8,1,159,66
0,5,0,1,11,100
1,7,0,1,0,195
0,2,21,1,272,135
0,2,4,3,43,175
1,4,17,3,265,145
0,4,84,3,365,135
1,6,3,1,0,170
1,5,0,2,213,125
0,2,27,2,40,89
0,1,68,3,168,70
1,1,4,2,365,350
0,1,4,1,0,75
0,2,1,1,21,140
0,6,0,1,0,40
0,1,0,1,0,89
1,5,12,1,91,80
0,5,2,2,365,65
2,2,12,2,89,80
1,1,0,1,0,400
0,5,4,1,0,21
0,7,1,1,0,50
1,3,4,1,0,80
0,1,28,3,270,100
1,7,0,1,23,90
1,2,4,1,0,99
1,5,0,1,0,300
1,3,0,1,0,250
0,2,8,4,0,90
1,14,1,1,0,88
0,3,0,1,0,200
0,14,4,2,0,89
0,1,49,4,72,59
1,2,2,3,298,295
0,1,2,1,89,115
0,1,32,1,22,65
0,4,6,1,0,115
1,2,70,1,342,160
1,1,32,1,2,96
0,1,1,1,87,150
1,1,15,1,362,125
1,1,9,1,13,220
1,5,2,2,0,200
0,3,0,1,0,90
1,2,12,1,0,188
0,2,23,1,0,60
0,9,4,1,0,95
1,1,3,2,0,268
0,7,0,1,0,85
1,2,65,1,308,124
0,4,2,1,0,40
1,4,40,1,29,125
1,4,5,1,194,499
1,5,1,1,0,105
1,3,1,1,0,152
1,3,33,1,96,299
1,6,18,1,0,100
1,4,5,1,303,200
1,1,21,1,0,150
1,2,3,2,0,143
0,1,11,2,358,64
1,10,2,1,0,115
1,3,3,1,0,175
1,2,19,1,147,175
1,1,0,2,13,80
1,4,20,1,328,100
1,7,4,1,365,101
0,4,9,1,0,95
0,1,0,1,83,60
1,5,63,1,235,155
1,7,11,1,0,130
0,1,18,1,362,70
1,3,10,1,0,140
1,3,6,1,0,125
1,5,9,1,23,359
1,7,20,1,23,185
1,2,98,2,33,199
0,1,5,2,0,45
0,2,6,1,0,49
0,2,88,2,266,105
1,3,1,1,5,350
2,1,1,1,70,66
1,4,2,2,34,160
1,2,12,1,41,75
1,1,11,1,180,500
0,4,0,1,0,79
1,3,5,1,23,250
1,5,2,3,266,239
1,2,0,1,79,130
1,2,1,1,0,200
1,1,3,1,50,60
1,1,3,1,0,99
0,1,25,2,0,145
1,5,19,1,358,349
0,1,0,1,270,70
0,1,1,1,0,75
1,1,65,3,92,79
1,1,0,2,2,80
0,1,1,1,95,45
